##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	sampleDat6_1_fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1000000
Total Bases	101 Mbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	8	0.13197624322106805
1103	9	0.07595794207718853
1103	10-11	0.15547183433385214
1103	12-13	0.16605862140366412
1103	14-15	0.21440028605393024
1103	16-17	0.22200034038844052
1103	18-19	0.19392022172687717
1103	20-21	0.2444366074887938
1103	22-23	0.22308408075846842
1103	24-25	0.20919430423622032
1103	26-27	0.1908660626698051
1103	28-29	0.271350543504596
1103	30-31	0.25395308052716103
1103	32-33	0.19632159758963041
1103	34-35	0.21755106073267427
1103	36-37	0.3153169007874794
1103	38-39	0.3021720822772451
1103	40-41	0.32669381548495124
1103	42-43	0.18721438010818048
1103	44-45	0.18001381070627076
1103	46-47	0.2517832759045575
1103	48-49	0.24073715782419214
1103	50-51	0.09493174003325322
1103	52-53	0.09020083101984255
1103	54-55	0.14745607584751497
1103	56-57	0.3218006774293869
1103	58-59	0.14193547784833527
1103	60-61	0.25713237213353324
1103	62-63	0.06731547751309819
1103	64-65	0.12092244936122398
1103	66-67	0.13336976655136823
1103	68-69	0.1354449968243543
1103	70-71	0.09236141623804883
1103	72-73	0.11550429648888638
1103	74-75	0.1946529313373091
1103	76-77	0.17465812670845082
1103	78-79	0.07643941554827904
1103	80-81	0.07947469189954859
1103	82-83	0.14218081052963782
1103	84-85	0.08832902792865127
1103	86-87	0.11497406161527124
1103	88-89	0.11280320578985936
1103	90-91	-0.0411376746041654
1103	92-93	0.08894730607642742
1103	94-95	-0.08914105035463393
1103	96-97	0.10508898696295432
1103	98-99	-0.04989254501770901
1103	100-101	-0.319087188349652
1104	1	0.13726522354548365
1104	2	0.1304020124729206
1104	3	0.15466886005184932
1104	4	0.031197807239117026
1104	5	0.03669953461012199
1104	6	0.0841256103150343
1104	7	0.1530266080520022
1104	8	0.15717998808535327
1104	9	0.15733465117667578
